id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1008979;08/01/2024;1;Vente;397000;32;;RUE SUFFREN;6855;83000;83137;Toulon;83;;;83137000BV0342;;;20;75.8;5;;;;;;;;2;2;Appartement;78;4;;;;;;5.938133;43.107377
2024-1008979;08/01/2024;1;Vente;397000;32;;RUE SUFFREN;6855;83000;83137;Toulon;83;;;83137000BV0342;;;20;75.8;5;;;;;;;;2;3;Dépendance;;0;;;;;;5.938133;43.107377
2024-1008979;08/01/2024;1;Vente;397000;9001;;RUE HENRI IV;3595;83000;83137;Toulon;83;;;83137000BV0783;;;150;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.938121;43.108003
2024-1008982;04/01/2024;1;Vente;145000;175;;AV LIEUTAUD;4475;83000;83137;Toulon;83;;;83137000BW0038;;;69;18.15;;;;;;;;;1;3;Dépendance;;0;;;;;;5.932522;43.105793
2024-1008983;05/01/2024;1;Vente;266500;26;;PL GAMBETTA;3155;83000;83137;Toulon;83;;;83137000CN0543;;;59;80.78;;;;;;;;;1;2;Appartement;80;3;;;;;;5.931017;43.121233
2024-1008984;08/01/2024;1;Vente;258000;239;;CHE DE LA CARRAIRE;1215;83200;83137;Toulon;83;;;83137000ET0476;;;;;;;;;;;;;0;1;Maison;66;3;S;sols;;;1000;5.935942;43.16231
2024-1008986;04/01/2024;1;Vente;190000;1547;;AV JOSEPH LOUIS ORTOLAN;4035;83100;83137;Toulon;83;;;83137000AH0342;;;450;;497;65.13;;;;;;;2;3;Dépendance;;0;;;;;;5.963667;43.133989
2024-1008986;04/01/2024;1;Vente;190000;1547;;AV JOSEPH LOUIS ORTOLAN;4035;83100;83137;Toulon;83;;;83137000AH0342;;;450;;497;65.13;;;;;;;2;2;Appartement;60;3;;;;;;5.963667;43.133989
2024-1008986;04/01/2024;1;Vente;190000;1547;;AV JOSEPH LOUIS ORTOLAN;4035;83100;83137;Toulon;83;;;83137000AH0342;;;427;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.963667;43.133989
2024-1008988;08/01/2024;1;Vente;317570;6;;AV DES VIGNETTES;7235;83000;83137;Toulon;83;;;83137000BV0095;;;;;;;;;;;;;0;1;Maison;48;3;S;sols;;;88;5.941801;43.109213
