id_mutation;valeur_fonciere;surface_totale;type_local;code_postal
2024-1008979;397000.0;78.0;Appartement;83000
2024-1008983;266500.0;80.0;Appartement;83000
2024-1008984;258000.0;66.0;Maison;83200
2024-1008986;190000.0;60.0;Appartement;83100
2024-1008988;317570.0;48.0;Maison;83000
2024-1008996;289000.0;110.0;Appartement;83000
2024-1009003;117000.0;54.0;Appartement;83100
2024-1009004;32000.0;24.0;Appartement;83200
2024-1009005;195000.0;98.0;Appartement;83000
2024-1009006;95000.0;64.0;Appartement;83000
2024-1009008;87400.0;37.0;Appartement;83000
2024-1009009;163500.0;66.0;Appartement;83100
2024-1009012;122000.0;80.0;Appartement;83200
2024-1009016;192100.0;78.0;Appartement;83000
2024-1009019;70000.0;40.0;Appartement;83200
2024-1009020;35000.0;23.0;Appartement;83100
2024-1009021;190000.0;100.0;Appartement;83200
2024-1009022;278000.0;65.0;Maison;83000
2024-1009023;75000.0;40.0;Appartement;83200
2024-1009029;865250.0;167.0;Maison;83000
2024-1009038;647500.0;144.0;Appartement;83000
2024-1009040;188000.0;39.0;Appartement;83200
2024-1009042;222000.0;68.0;Appartement;83000
2024-1009048;185000.0;46.0;Appartement;83000
2024-1009051;55000.0;52.0;Appartement;83000
2024-1009059;114300.0;35.0;Appartement;83000
2024-1009060;154250.0;67.0;Appartement;83200
2024-1009061;102400.0;36.0;Appartement;83000
2024-1009067;162000.0;29.0;Appartement;83200
2024-1009068;80000.0;40.0;Appartement;83000
2024-1009071;695700.0;155.0;Maison;83000
2024-1009100;174000.0;59.0;Appartement;83000
2024-1009109;615000.0;120.0;Appartement;83000
2024-1009111;150000.0;80.0;Appartement;83200
2024-1009115;130000.0;53.0;Appartement;83000
2024-1009116;137850.0;40.0;Appartement;83000
2024-1009130;900000.0;180.0;Maison;83100
2024-1009132;305000.0;72.0;Appartement;83200
2024-1009146;95000.0;66.0;Appartement;83000
2024-1009149;70000.0;58.0;Appartement;83100
2024-1009160;120000.0;70.0;Appartement;83200
2024-1009166;577400.0;113.0;Appartement;83000
2024-1009168;59000.0;34.0;Appartement;83200
2024-1009179;243000.0;84.0;Appartement;83200
2024-1009182;1300000.0;150.0;Appartement;83000
2024-1009190;81000.0;38.0;Appartement;83200
2024-1009191;200000.0;103.0;Appartement;83200
2024-1009194;480000.0;88.0;Maison;83100
2024-1009198;353140.0;78.0;Maison;83200
2024-1009199;100000.0;79.0;Appartement;83200
2024-1009202;231550.0;58.0;Appartement;83000
2024-1009214;140000.0;46.0;Appartement;83000
2024-1009216;712600.0;334.0;Maison;83200
2024-1009217;135000.0;56.0;Appartement;83000
2024-1009225;355270.0;73.0;Appartement;83000
2024-1009228;115000.0;62.0;Appartement;83000
2024-1009235;250000.0;70.0;Maison;83200
2024-1009258;354000.0;85.0;Appartement;83000
2024-1009260;75000.0;21.0;Appartement;83000
2024-1009268;260000.0;71.0;Appartement;83000
2024-1009273;121000.0;67.0;Appartement;83100
2024-1009277;106000.0;54.0;Appartement;83200
2024-1009283;112000.0;30.0;Appartement;83000
2024-1009286;127000.0;41.0;Appartement;83000
2024-1009287;137000.0;68.0;Appartement;83200
2024-1009289;305000.0;88.0;Appartement;83200
2024-1009299;113000.0;49.0;Appartement;83000
2024-1009302;240000.0;132.0;Appartement;83200
2024-1009318;480335.0;94.0;Maison;83200
2024-1009326;81500.0;57.0;Appartement;83000
2024-1009330;137000.0;50.0;Appartement;83000
2024-1009332;79000.0;22.0;Appartement;83000
2024-1009338;105000.0;49.0;Appartement;83000
2024-1009347;131500.0;60.0;Appartement;83200
2024-1009350;56300.0;17.0;Appartement;83100
2024-1009353;125000.0;56.0;Appartement;83200
2024-1009355;150000.0;57.0;Appartement;83000
2024-1009359;29000.0;11.0;Appartement;83000
2024-1009361;104000.0;57.0;Appartement;83000
2024-1009363;129500.0;62.0;Appartement;83200
2024-1009367;108000.0;23.0;Appartement;83000
2024-1009370;112000.0;60.0;Appartement;83100
2024-1009382;57000.0;21.0;Appartement;83100
2024-1009386;180000.0;63.0;Appartement;83000
2024-1009390;65000.0;33.0;Appartement;83000
2024-1009396;237000.0;64.0;Maison;83200
2024-1009405;150000.0;39.0;Appartement;83100
2024-1009408;115000.0;68.0;Appartement;83000
2024-1009410;389000.0;80.0;Appartement;83000
2024-1009412;389000.0;75.0;Appartement;83100
2024-1009415;239500.0;62.0;Appartement;83000
2024-1009419;195000.0;60.0;Appartement;83200
2024-1009427;226000.0;86.0;Appartement;83200
2024-1009428;84000.0;40.0;Appartement;83100
2024-1009430;128000.0;64.0;Appartement;83200
2024-1009433;129000.0;63.0;Appartement;83200
2024-1009436;330000.0;57.0;Appartement;83000
2024-1009437;182000.0;62.0;Appartement;83200
2024-1009443;204120.0;63.0;Appartement;83000
2024-1009453;245000.0;70.0;Appartement;83100
2024-1009454;132320.0;80.0;Appartement;83200
2024-1009460;82500.0;68.0;Appartement;83100
2024-1009464;137700.0;56.0;Appartement;83200
2024-1009467;60000.0;42.0;Appartement;83200
2024-1009471;205260.0;68.0;Appartement;83000
2024-1009472;580000.0;138.0;Appartement;83200
2024-1009477;90000.0;74.0;Appartement;83200
2024-1009485;725000.0;259.0;Appartement;83000
2024-1009501;200000.0;62.0;Appartement;83000
2024-1009513;175750.0;64.0;Appartement;83200
2024-1009532;142000.0;45.0;Appartement;83200
2024-1009534;170000.0;80.0;Appartement;83000
2024-1009535;121700.0;43.0;Appartement;83100
2024-1009545;408090.0;83.0;Maison;83200
2024-1009548;245000.0;40.0;Appartement;83200
2024-1009555;150000.0;70.0;Appartement;83200
2024-1009558;192800.0;77.0;Appartement;83100
2024-1009559;305000.0;97.0;Maison;83100
2024-1009563;334000.0;132.0;Appartement;83000
2024-1009568;115000.0;50.0;Appartement;83200
2024-1009581;315000.0;60.0;Maison;83000
2024-1009583;95000.0;51.0;Appartement;83100
2024-1009592;141000.0;65.0;Appartement;83000
2024-1009605;148000.0;36.0;Appartement;83100
2024-1009610;130000.0;67.0;Appartement;83100
2024-1009636;262000.0;84.0;Appartement;83000
2024-1009640;74850.0;35.0;Appartement;83200
2024-1009643;347000.0;69.0;Appartement;83000
2024-1009645;297000.0;74.0;Maison;83200
2024-1009647;132000.0;80.0;Appartement;83200
2024-1009649;273500.0;74.0;Appartement;83000
2024-1009652;281866.0;125.0;Appartement;83200
2024-1009653;115000.0;60.0;Appartement;83200
2024-1009654;135000.0;66.0;Appartement;83100
2024-1009658;94288.0;85.0;Appartement;83200
2024-1009666;65000.0;45.0;Appartement;83200
2024-1009669;450310.0;75.0;Appartement;83000
