id_annonce;titre;description;prix;surface_m2;prix_m2;pieces;chambres;salles_de_bain;type_bien;ville;code_postal;quartier;balcon;terrasse;jardin;ascenseur;cave;nb_parkings;etage;nb_etages_immeuble;surface_terrain_m2;classe_energie;classe_ges;date_publication;date_modification;frais_a_charge;prix_hors_frais;bien_neuf;type_compte;annonce_pro;url
ag311656-510682583;Spécial investisseurs - T1 meublé en résidence étudiante;Dans une résidence de services étudiante située à proximité du campus universitaire et du centre-ville de Toulon, investissez dans ce Studio meublé de 18,36 m² situé au 3ème étage. Sous contrat de bail commercial avec la société GARDEN & CITY. Loyer annuel garanti : 2 925 € HT Rentabilité brute : 6,96 % Statut : LMNP (Loueur Meublé Non Professionnel) Amortissement possible Un investissement sécurisé et rentable, idéal pour constituer un patrimoine ou préparer votre retraite avec un revenu garant;42000.0;18.0;2333.33;1.0;;;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;;3.0;8.0;;C;A;2026-01-28T21:15:00.711Z;2026-02-24T12:36:39.570Z;seller;42000.0;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/ag311656-510682583
hektor-11_GRECHTOULON2023-112960;Toulon - Serinette - F3 rez-de-jardin cellier parking et gar;EXCLUSIVITE - VIAGER OCCUPE - A Toulon, quartier Serinette, dans la copropriété Les Cyclades, construite en 1982, entretenue, avec gardien, résidence sécurisée et fermée avec portails électriques.<br> En rez-de-jardin, un appartement F3 de 71,35 m2 (Carrez) comprenant hall d'entrée, salon, salle à manger, cuisine aménagée, 1 chambre, salle de bain, wc indépendants, placards, cellier (lot indépendant). Au Sud, accessible par salon et salle à manger : terrasse de 18,7 m2 (8,2 x 2,3 m), jardin de 7;68000.0;71.35;953.05;3.0;1.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;1.0;0.0;;;C;A;1970-01-01T00:00:00.000Z;2026-03-09T21:47:26.575Z;seller;68000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-11_GRECHTOULON2023-112960
hektor-2_GRECHTOULON2023-114176;VENTE APPARTEMENT T3 TOULON AGUILLON;EXCLUSIVITE - Toulon, quartier Aguillon, proche des commerces et des commodités, au 1er étage sur 9, appartement de type 3, traversant sud / nord, lumineux et ensoleillé de 53,51 m2 loi carrez comprenant : une entrée, un salon avec cuisine ouverte sur balcon sud, 2 chambres de 12 m2, une salle d'eau et un WC indépendants. Cave.<br> Les + : climatisation réversible, fenêtres PVC double-vitrage, tableau électrique avec différentiels et 30 mA, possibilité de modification en grand T2.<br> Cuisine et;98500.0;53.51;1840.78;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;1.0;10.0;;C;A;2026-02-27T14:41:58.247Z;2026-03-02T15:36:30.851Z;seller;98500.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-2_GRECHTOULON2023-114176
hektor-grechimmo83000-114176;VENTE APPARTEMENT T3 TOULON AGUILLON;EXCLUSIVITE - Toulon, quartier Aguillon, proche des commerces et des commodités, au 1er étage sur 9, appartement de type 3, traversant sud / nord, lumineux et ensoleillé de 53,51 m2 loi carrez comprenant : une entrée, un salon avec cuisine ouverte sur balcon sud, 2 chambres de 12 m2, une salle d'eau et un WC indépendants. Cave.<br> Les + : climatisation réversible, fenêtres PVC double-vitrage, tableau électrique avec différentiels et 30 mA, possibilité de modification en grand T2.<br> Cuisine et;98500.0;53.51;1840.78;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;1.0;10.0;;C;A;2026-02-27T12:27:15.682Z;2026-03-02T15:31:33.800Z;seller;98500.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-grechimmo83000-114176
hektor-royal-immo-27248;Appartement T3 - 54.90m2 - balcon;AGUILLON - Au sein d'un immeuble des années 60 avec ascenseur, au 6ème étage, appartement de type 3 composé d'un hall d'entrée, séjour sur balcon, cuisine, 2 chambres, sdb, wc ind.<br> Double vitrage, chauffage collectif au gaz, eau chaude individuelle ballon electrique, celier au RDC,<br> bon état général.<br> Loué depuis le 20/12/2023 à locataire sérieux 625EUR/mois HC. (révision à l'indice inclus dans le bail)<br> PRODUIT IDEAL POUR INVESTISSEURS!<br> Les informations sur les risques auxquels;119000.0;54.9;2167.58;3.0;2.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;6.0;8.0;;D;D;1970-01-01T00:00:00.000Z;2026-02-20T17:31:20.103Z;seller;119000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-royal-immo-27248
hektor-sixfours-387801;Toulon, Aguillon, 2 pièces 40 M2 en excellent état. DPE C;Toulon, Aguillon, appartement 2 pièces 40 M2 en rez-de-chaussée d'une copropriété bien entretenue. Anciennement loué 640EUR par mois hors charges en bail meublé, libre à partir de mars 2026. Appartement en parfait état, DPE D, idéal investisseur.<br>;120000.0;40.0;3000.0;2.0;1.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;;;5.0;;D;B;1970-01-01T00:00:00.000Z;2026-02-18T09:00:42.275Z;seller;120000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-sixfours-387801
ag832778-485528969;Toulon Aguillon T3 Traversant avec Terrasse et balcon;Situé dans le secteur recherché de L'Aguillon à Toulon, découvrez ce spacieux T3 de 54 m², lumineux et traversant, offrant de beaux volumes. L'appartement dispose d'un salon donnant sur une terrasse, d'une chambre donnant sur la terrasse, d'une cuisine séparée, d'une salle de bains et d'un WC indépendant. Une cave privative ainsi qu'un stationnement collectif sécurisé viennent compléter ce bien situé dans une résidence calme et entretenue. Le logement est actuellement loué 655 € hors charges, id;125000.0;54.0;2314.81;3.0;1.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;0.0;1.0;13.0;;D;D;1970-01-01T00:00:00.000Z;2026-02-13T20:55:33.323Z;seller;125000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/ag832778-485528969
hektor-royalimmolavaletteduvar-31196;Type 2 quartier la Serinette;Idéalement situé dans le très recherché quartier de La Serinette à Toulon, découvrez ce charmant appartement T2 de 33 m2, niché au sein d'une jolie copropriété calme et bien entretenue.<br> Cet appartement se compose :<br>d'une pièce de vie lumineuse<br>d'une cuisine fonctionnelle<br>d'une chambre confortable<br>salle de bains avec WC<br> Vous apprécierez son environnement résidentiel, à proximité immédiate des commerces, transports et commodités, tout en bénéficiant d'un cadre de vie paisible.<;128000.0;33.0;3878.79;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;;0.0;;;C;C;2026-02-09T20:46:31.768Z;2026-03-06T13:50:20.580Z;;128000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-royalimmolavaletteduvar-31196
iad-france-1986310;Vente Maison/villa 2 pièces;iad France - Wolfgang Schaefer vous propose: Charmante maison de ville sans exterieur, T2 en duplex entièrement rénovée, sans travaux ni charges, au calme, dans un secteur recherché, proche des commodités, des commerces, des arrêts de bus et des axes autoroutiers.<br>Elle se compose d’une chambre de plain-pied, et à l’étage, d’une salle d’eau, d’un séjour et d’une cuisine séparée.<br>climatisation réversible chambre et séjour.<br>Idéale pour un premier achat ou un investissement. À saisir pour 1;129000.0;50.0;2580.0;2.0;1.0;;Maison;Toulon;83000;Aguillon;0;0;0;0;0;;;3.0;;D;B;2026-01-14T21:16:26.200Z;2026-03-01T11:56:54.664Z;seller;;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/house/iad-france-1986310
hektor-lpaimmo-27253;TOULON HAUT AIGUILLON;T2 en RDC dans maison de ville actuellement loué 680 c.c. au calme, proche mer.<br> Double vitrage et DPE D. Bail de 1 an meublé.<br> Ideal investiseur ou pied à terre<br>Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr;129000.0;41.0;3146.34;2.0;1.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;0;0;;0.0;5.0;;C;B;1970-01-01T00:00:00.000Z;2026-02-14T00:11:27.393Z;seller;129000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-lpaimmo-27253
hektor-agencedelavenir-7257;TOULON-EST - Joli T2 grand balcon;TOULON -EST - Idéalement situé proche toutes commodités au 3ème étage avec ascenseur d'un immeuble assez récent, joli T2 comprenant hall d'entrée, séjour avec cuisine ouverte donnant sur grand balcon, dégagement desservant une chambre avec placards, salle deau et WC séparé - Vendu loué 700 EUR / mois - Climatisation par gainage, double vitrage, plein sud - A visiter sans tarder !<br>;133000.0;40.0;3325.0;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;3.0;;;C;A;1970-01-01T00:00:00.000Z;2026-03-02T10:04:12.668Z;seller;133000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-agencedelavenir-7257
citya-immobilier-41039H-TAPP965365;;Exclusivité Toulon sud/est, résidence l'Harmonia. Investissement Locatif de qualité T1+parking pricatif - Toulon, bel investissement locatif dans résidence récente et sécurisée. L'appartement de type T1 est très agréable, ouvrant sur une petite terrasse sans vis à vis et soigneusement entretenu par une locataire sérieuse. Le bail a été mis en place le 18/04/2025 pour 3 ans renouvelables, avec un loyer mensuel de 480€, majorés des provisions sur charges locatives de 30€ + assurance locataire 17€/;138000.0;32.0;4312.5;1.0;0.0;0.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;1.0;2.0;8.0;;B;B;2026-02-11T06:05:44.368Z;2026-02-27T05:04:49.563Z;seller;;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/citya-immobilier-41039H-TAPP965365
iad-france-2017196;Vente Appartement 2 pièces;iad France - Thierry Giullo vous propose: Situé dans un quartier prisé de Toulon a 2 mn du port a pied et de tous commerces , cet appartement de 45m² au 4ème étage avec ascenseur d'un immeuble de 5 étages, construit en 1990, vous offre un cadre de vie idéal à proximité de toutes les commodités.<br>Cet appartement entièrement meublé dispose d'un espace de vie lumineux comprenant une cuisine équipée et moderne , une chambre, une piece de vie tres lumineuse avec vue degagée ,une salle d'eau avec WC;147500.0;45.0;3277.78;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;4.0;6.0;;C;A;2026-02-21T10:56:51.887Z;2026-02-25T15:58:15.947Z;seller;;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/iad-france-2017196
hektor-royalimmolavaletteduvar-30933;TOULON - AGUILLON - Appartement type 4 lumineux avec balcon;Situé dans le secteur recherché de l'Aguillon, à proximité immédiate des commodités, écoles et axes routiers, découvrez cet appartement traversant de type 4, d'une superficie de 68 m2, offrant une vue dominante et dégagée.<br>L'appartement se compose d'une entrée avec placards, d'un séjour double lumineux ouvrant sur un balcon, avec la possibilité d'aménager facilement une troisième chambre.<br>La partie nuit dessert deux chambres, une salle d'eau, ainsi qu'un WC séparé.<br>L'exposition plein su;154000.0;68.0;2264.71;4.0;2.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;8.0;10.0;;C;A;1970-01-01T00:00:00.000Z;2026-02-27T09:39:53.699Z;;154000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-royalimmolavaletteduvar-30933
hektor-agencedelavenir-7383;AGUILLON- TYPE 4;TOULON- AGUILLON- TYPE 4 avec vue dominante, au coeur de toutes les commodités et axes routiers, ce lumineux appartement traversant est composé d'une entrée avec placards, séjour double qui s'ouvre sur balcon et dans lequel il est facile de faire une troisième chambre, cuisine, dégagement desservant deux chambres , salle d'eau , wc, séparé- Exposition principale plein sud- Un cellier extérieur complète ce bien- Prix: 159 000 EUR<br>Les informations sur les risques auxquels ce bien est exposé son;154000.0;67.9;2268.04;4.0;2.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;8.0;13.0;;D;A;1970-01-01T00:00:00.000Z;2026-03-02T10:04:12.520Z;seller;154000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-agencedelavenir-7383
iad-france-1986843;Vente Appartement 2 pièces;iad France - Marjorie Ynesta vous propose: Opportunité à saisir : Charmant appartement de 2 pièces rénové à Toulon, quartier Aguillon.<br>Situé au cOEur de la magnifique ville de Toulon, cet appartement de 2 pièces d'une surface de 41m² a été entièrement rénové pour offrir un espace de vie moderne et confortable. Idéal comme premier achat, investissement locatif ou pied-à-terre, cet appartement saura vous séduire par son emplacement stratégique et ses caractéristiques attrayantes.<br>L'apparteme;154900.0;41.0;3778.05;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;0;0;0;1;;1.0;10.0;;C;A;2026-01-14T21:16:26.200Z;2026-02-25T15:58:26.807Z;seller;;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/iad-france-1986843
hektor-royal-immo-31273;TOULON L'AGUILLON T2 RÉNOVÉ RÉSIDENCE FERMÉE À 10 MI;Idéalement situé dans le quartier recherché de L'Aguillon à Toulon, au sein d'une résidence fermée et sécurisée, découvrez ce bel appartement de type 2 entièrement rénové, prêt à vivre.<br>Dès l'entrée, vous serez séduit par son agencement fonctionnel et son état impeccable. L'appartement se compose de :<br>Une entrée accueillante<br>Une cuisine indépendante, entièrement équipée et aménagée<br>Un salon lumineux<br>Une chambre confortable avec dressing<br>Une salle d'eau moderne<br>Un WC séparé<b;157000.0;41.0;3829.27;2.0;1.0;;Appartement;Toulon;83000;Aguillon;0;0;0;0;1;;1.0;10.0;;C;A;2026-02-24T09:41:09.544Z;2026-02-24T09:41:09.544Z;seller;157000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-royal-immo-31273
century-21-202_3648_665;;AGUILLON, <br>Venez découvrir ce spacieux appartement de 4 pièces avec 3 chambres lumineuses. Cet appartement est parfait pour une famille à la recherche de confort et de proximité avec les commerces et la mer.<br>Vous serez séduit par les volumes de l'espace de vie donnant sur une terrasse, une cuisine ouverte et aménagée.<br>Un dégagement vous propose 3 chambres dont une avec dressing et balcon, ainsi qu'une salle d'eau et un WC séparé.<br>A visiter sans tarder!!!;168853.0;73.36;2301.7;4.0;3.0;0.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;0.0;1.0;8.0;;E;B;1970-01-01T00:00:00.000Z;2026-02-18T01:55:12.459Z;seller;;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/century-21-202_3648_665
dr-house-immo-1-3125718;Appartement T4 Aguillon;TOULON AGUILLON. APPARTEMENT. Nous avons le plaisir de vous présenter ce bel appartement T4 d'une surface de 68,60 m² au 3ème étage avec ascenseur en demi-palier idéalement située dans le quartier Aguillon comprenant entrée, salon-séjour, 2 chambres (possibilité 3), salle de bains, salle d'eau et toilettes séparées. Un cellier/cave complète l'ensemble.<br>L'emplacement lui offre une proximité avantageuse avec les commerces, les professionnels de santé, les écoles, collèges, lycées ainsi que les;169000.0;68.6;2463.56;4.0;2.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;0;;3.0;10.0;;C;A;1970-01-01T00:00:00.000Z;2026-03-07T11:10:09.358Z;seller;;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/dr-house-immo-1-3125718
hektor-mourillon-389531;TOULON - AGUILLON Appartement 4 pièces avec cave;Venez découvrir sans tarder cet spacieux appartement T4 de 3 chambres idéalement situé dans le quartier prisé de l'Aguillon à Toulon !<br>Au sein d'une copropriété bien entretenue avec ascenseur, ce logement lumineux offre un cadre de vie très agréable :<br> Un séjour convivial s'ouvrant sur une belle terrasse, parfaite pour vos repas d'été ou un moment de détente.<br>Une cuisine séparée et fonctionnelle bénéficiant d'un balcon supplémentaire, très pratique pour le rangement ou un coin petit-déj;169000.0;67.5;2503.7;4.0;3.0;;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;6.0;11.0;;D;A;2026-01-22T15:35:32.549Z;2026-02-23T19:09:43.918Z;seller;169000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-mourillon-389531
iad-france-2013120;Vente Appartement 3 pièces;iad France - Audrey Pernet vous propose: Quartier Aguillon – Toulon Appartement 53 m² – 2 chambres- stationnement -cave-local à vélo <br>Situé dans une résidence fermée, dans le quartier recherché d’Aguillon, cet appartement traversant Est/Ouest de 53 m² bénéficie d’une belle luminosité et d’un agencement optimisé.<br>Description du bien<br>Le bien se compose d’un double salon avec cuisine ouverte entièrement équipée, offrant un accès direct à une terrasse de 10 m² exposée Ouest, idéale pour pro;172000.0;53.0;3245.28;3.0;2.0;;Appartement;Toulon;83000;Aguillon;0;1;0;0;1;;3.0;5.0;;A;D;2026-02-16T18:56:24.418Z;2026-02-25T16:46:39.982Z;seller;;0;mandatary;1;https://www.bienici.com/annonce/vente/toulon/flat/iad-france-2013120
hektor-bretteimmobilieranne-19934;TOULON AGUILLON - APPARTEMENT T3;TOULON AGUILLON - APPARTEMENT T3 dans une résidence proche de toutes commodités, il se compose d'une entrée avec placard, un salon donnant sur balcon avec une vue dégagée, cuisine séparée avec balcon, 2 chambres dont une avec placard, salle de bain et wc indépendant.<br> Parking collectif, une cave vient compléter ce bien. Prévoir des travaux de remise au goût du jour.<br>Les informations concernant les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.;172000.0;53.0;3245.28;3.0;2.0;1.0;Appartement;Toulon;83000;Aguillon;0;0;0;1;1;;4.0;11.0;;C;D;2026-03-02T16:43:25.064Z;2026-03-10T05:03:37.958Z;;172000.0;0;agency;1;https://www.bienici.com/annonce/vente/toulon/flat/hektor-bretteimmobilieranne-19934
