id,source,title,description,price,surface_m2,price_m2,rooms,bedrooms,bathrooms,property_type,city,postal_code,district_name,district_full_name,latitude_blur,longitude_blur,has_balcony,has_terrace,has_garden,has_elevator,has_cellar,parking_places,floor,floor_quantity,land_surface_m2,heating,energy_class,ghg_class,energy_value,ghg_value,new_property,account_type,ad_created_by_pro,publication_date,modification_date,on_the_market,is_highlighted,is_exclusive_sale_mandate,fees_charged_to,price_without_fees,reference,url
ag942352-517766360,Bienici,Appartement d'1 pièce de 25 m² situé à Toulon,"Laissez-vous séduire par ce studio lumineux de 25 m², niché au cœur de Toulon. Situé au deuxième étage d'un immeuble de six étages avec ascenseur, cet appartement offre une vue imprenable sur la mer, créant une ambiance sereine et relaxante. L'espace de vie de 19 m², baigné de lumière grâce à une large fenêtre, invite à la détente et à la contemplation.

La situation géographique de ce bien est un véritable atout. À quelques pas du port et du célèbre stade Mayol, vous serez plongé dans l'animation toulonnaise tout en bénéficiant de la quiétude du quartier. Les commodités, telles que les commerces et les transports en commun, se trouvent à moins de 100 m, facilitant ainsi votre quotidien.

Que vous recherchiez un pied-à-terre, un premier achat ou un investissement locatif, ce studio saura répondre à vos attentes. Il propose un cadre de vie sécurisé et confortable dans un immeuble récemment rénové.

Caractéristiques techniques :
- Type : Appartement
- Surface : 25 m²
- Étage : 2ᵉ avec ascenseur
- Année de construction : 1958
- Consommation énergétique : E

Mentions légales :

Les renseignements publiés sont fournis à titre non contractuel et n'ont pas valeur de pièces administratives ou d'actes officiels. L'annonceur décline toute responsabilité en cas d'omission ; il appartient aux candidats acheteurs ou locataires de solliciter des expertises techniques, ainsi que de consulter les documents d'urbanisme et le cadastre si nécessaire. Pour consulter les informations publiques relatives aux aléas du territoire, rendez-vous sur www.georisques.gouv.fr. Annonce diffusée par Zefir.

Pour toute question, contactez Zefir au <span class=""importDescriptionDecorator"" data-type=""phone"">07 57 91 70 93</span>.",82000,25,3280,1,0.0,1.0,flat,Toulon,83000,La Rode,Toulon - La Rode,43.118252229857966,5.937199219016226,1,0,0,1,0,,2.0,7.0,,fuel individuel,E,,,,0,agency,1,2026-03-10T05:08:12.041Z,2026-03-10T05:08:12.041Z,1,0,1,purchaser,,f040f097-b3d5-48b5-94e4-dbe1bb,https://www.bienici.com/annonce/vente/toulon/flat/ag942352-517766360
ag942352-517762985,Bienici,Charmant T4 rénové avec balcons - Toulon Brunet,"Plongez dans le charme de cet élégant appartement de 4 pièces, idéalement situé dans le quartier recherché de Brunet à Toulon. Niché au 4ᵉ étage d'un immeuble récemment rénové, ce T4 allie modernité et raffinement, offrant un cadre de vie à la fois confortable et pratique.

Avec une surface Loi Carrez de 65 m² et une surface totale de 75 m², cet appartement se distingue par ses deux balcons spacieux qui baignent les pièces de lumière naturelle, créant une ambiance chaleureuse et accueillante. La pièce à vivre, généreuse et lumineuse, s'ouvre sur l'un des balcons, offrant un espace parfait pour profiter de l'extérieur.

L'appartement dispose de trois chambres, chacune avec sa propre salle d'eau, assurant confort et intimité à tous les occupants. De nombreux rangements intégrés optimisent l'espace, tandis qu'une cave de 4 m² offre des solutions de stockage supplémentaires.

Équipé de prestations de haute qualité, l'appartement bénéficie d'une climatisation neuve, de volets roulants électriques, d'un chauffe-eau neuf, de radiateurs modernes, ainsi que de fenêtres en double vitrage et de la fibre optique. Aucun travaux à prévoir, il ne vous reste plus qu'à poser vos valises.

Que vous soyez à la recherche d'un investissement locatif, en location saisonnière ou annuelle, ou d'une résidence principale prête à vivre, ce bien est une opportunité à ne pas manquer.

Le quartier offre un cadre de vie agréable avec des parcs et jardins publics à proximité, parfaits pour vos promenades. De plus, des établissements scolaires allant de la maternelle au lycée sont situés à une distance pratique, facilitant ainsi la vie de famille.

Caractéristiques techniques

- Surface : 65 m²
- Étage : 4/7 avec ascenseur
- DPE : C
- Taxe foncière : 1089 €
- Chauffage : Individuel Électrique
- Eau chaude : Individuel Électrique

Mentions légales :

Les informations publiques et cartographiques relatives aux aléas et contraintes locales sont consultables sur www.georisques.gouv.fr. Le contenu de cette annonce a un objectif informatif et doit être complété par des examens techniques et des rapports officiels. Il est recommandé de faire réaliser des contrôles et évaluations par des spécialistes indépendants afin d'apprécier précisément l'état et la conformité du bien. Les données peuvent évoluer et ne constituent pas un engagement contractuel de la part du diffuseur.

Pour toute question, contactez Zefir au <span class=""importDescriptionDecorator"" data-type=""phone"">07 57 91 70 93</span>.",210000,65,3230.769230769231,4,3.0,,flat,Toulon,83100,Brunet,Toulon - Brunet,43.12685539037214,5.960635781168381,1,0,0,1,1,,4.0,8.0,,électricité individuel,C,A,169.0,5.0,0,agency,1,2026-03-10T05:08:12.041Z,2026-03-10T05:08:12.041Z,1,0,1,seller,210000.0,bcb43455-b590-4a13-b6cc-165b43,https://www.bienici.com/annonce/vente/toulon/flat/ag942352-517762985
ag942352-517764734,Bienici,Maison 5 chambres et 2 appartements à Toulon Est,"Découvrez cette maison de caractère nichée dans le quartier prisé de Toulon Est, offrant une opportunité rare avec ses deux appartements indépendants. Avec une surface totale de 126 m², cette propriété est parfaite pour une grande famille ou un investisseur cherchant à maximiser son potentiel.

Construite en 1930, la maison s'étend sur un terrain de 197 m² et bénéficie d'une orientation plein sud, baignant chaque pièce de lumière naturelle. Le rez-de-chaussée, récemment rénové, propose un espace de vie chaleureux avec une cuisine américaine moderne et entièrement équipée. Une suite parentale avec salle d'eau privative y assure confort et intimité. Un escalier extérieur mène à l'étage, où un second appartement vous accueille avec trois chambres spacieuses, une cuisine pratique, une salle de bain et des toilettes séparées.

À l'extérieur, un jardin de 192 m² et une terrasse vous invitent à profiter de moments de détente ou à organiser des repas en plein air. La maison est idéalement située à proximité des écoles, des commerces et des transports en commun, simplifiant ainsi votre quotidien. Les visiteurs sont souvent séduits par le potentiel de cette maison, renforcé par la qualité des rénovations du rez-de-chaussée et la possibilité d'aménager jusqu'à cinq chambres.

Caractéristiques techniques :
- Surface habitable : 126 m²
- Nombre de chambres : 4
- Nombre de salles de bain : 2
- Chauffage : Gaz individuel
- DPE : D
- Année de construction : 1930

Mentions légales :

Les renseignements officiels concernant les risques (naturels, technologiques ou miniers) et les servitudes associées au bien sont accessibles sur www.georisques.gouv.fr. Cette annonce a une finalité exclusivement informative et ne se substitue pas aux contrôles nécessaires avant toute opération immobilière. Il est recommandé de faire réaliser par des experts les diagnostics obligatoires, les mesurages, ainsi que les vérifications administratives et cadastrales afin d'obtenir des documents officiels à jour.

Pour toute question, contactez Zefir au <span class=""importDescriptionDecorator"" data-type=""phone"">07 57 91 70 93</span>.",334000,126,2650.7936507936506,6,4.0,2.0,house,Toulon,83100,Saint-Jean du Var,Toulon - Saint-Jean du Var,43.12348642180244,5.956734784467065,1,1,1,0,0,,,,197.0,gaz individuel,D,D,184.0,35.0,0,agency,1,2026-03-10T05:08:12.041Z,2026-03-10T05:08:12.041Z,1,0,1,seller,334000.0,0d8ff356-0825-4067-a35a-1b6f1b,https://www.bienici.com/annonce/vente/toulon/house/ag942352-517764734
ag942352-517539578,Bienici,Maison de 4 pièces de 92 m² à Toulon,"Nichée au cœur de Toulon, cette maison de 92 m² allie élégance et confort moderne. Répartie sur deux niveaux, elle offre un cadre de vie harmonieux et lumineux. Le rez-de-chaussée, baigné de lumière naturelle, propose un vaste espace de vie où se mêlent convivialité et détente, idéal pour partager des moments chaleureux en famille ou entre amis. À l'étage, les chambres, véritables cocons de tranquillité, assurent une séparation parfaite entre les espaces de jour et de nuit.

Dotée d'équipements modernes, cette maison garantit un confort optimal en toute saison grâce à sa climatisation réversible et son ballon thermodynamique pour l'eau chaude. Le jardin de 150 m², accessible depuis le salon, est un véritable écrin de verdure, parfait pour se ressourcer ou organiser des réceptions en plein air. La sécurité et la praticité sont renforcées par un portail électrique et un interphone.

Les familles seront séduites par la proximité des établissements scolaires : l'École primaire La Tauriac se trouve à moins de 300 m, tandis que l'École maternelle La Beaucaire et l'École élémentaire Beaucaire sont à seulement 600 m. Les amateurs de nature apprécieront le parc canin Woof Haven Toulon, situé à 700 m, pour des promenades agréables.

Caractéristiques techniques
- Surface : 92 m²
- Nombre de pièces : 4
- Nombre de chambres : 2
- Nombre de salles de bain : 1
- Année de construction : 2018
- Nombre d'étages : 2
- Surface du jardin : 150 m²
- Chauffage : climatisation réversible
- Eau chaude : ballon thermodynamique
- DPE : A
- Taxe foncière : 1905 €

Mentions légales :

Les renseignements figurant ci‑dessus émanent de l'annonceur et sont fournis à titre indicatif. Ils ne remplacent en aucun cas les documents officiels requis pour une transaction (rapports techniques, certificats, plans) et ne constituent pas une garantie juridique. Il est recommandé de vérifier l'intégralité des pièces auprès des professionnels compétents. Pour la cartographie des risques et les informations publiques, consultez www.georisques.gouv.fr. Cette annonce est mise en ligne par Zefir.

Pour toute question, contactez Zefir au <span class=""importDescriptionDecorator"" data-type=""phone"">07 57 91 70 93</span>.",399000,92,4336.95652173913,3,2.0,1.0,house,Toulon,83200,L'Escaillon,Toulon - L'Escaillon,43.127368505244824,5.888330606175995,0,0,1,0,0,1.0,,,474.0,pompe à chaleur individuel,A,A,50.0,2.0,0,agency,1,2026-03-09T05:20:13.182Z,2026-03-09T05:20:13.182Z,1,0,1,seller,399000.0,4452ae63-228f-4143-9014-7e637f,https://www.bienici.com/annonce/vente/toulon/house/ag942352-517539578
iad-france-2024100,Bienici,Vente Duplex 4 pièces,"iad France - Gael Hennart vous propose: À DÉCOUVRIR – RARE SUR LE MARCHÉ !<br>Superbe Duplex T4 de 95 m² carrez- 130m2 au sol– Calme absolu – Secteur de Lamalgue-10min des plage à pied <br>Vous recherchez un appartement confortable pour vous et votre famille ?<br>Laissez-vous séduire par ce magnifique duplex de 95 m², entièrement rénové du sol au plafond avec des matériaux haut de gamme, situé au 1er et dernier étage d'une petite copropriété de seulement deux lots d’habitation.<br>Accès indépendant – comme dans une maison !<br>Ce bien se compose :<br>Au premier niveau : une entrée desservant un vaste salon-séjour lumineux avec cuisine ouverte équipée et aménagée, une grande salle d’eau moderne, un WC indépendant.<br>Depuis le séjour, vous accédez à une première chambre ainsi qu’à une terrasse de 25 m² exposée Sud au calme.<br>À l'étage : deux grande chambres sous-pente climatisées, idéales pour des enfants, un bureau ou une salle de jeu selon vos besoins.<br>À l’extérieur :<br>Espace buanderie<br>Petit local de stockage<br>✅ Les plus :<br>-Entièrement rénové (matériaux haut de gamme)<br>-Pas de charge <br>-Calme absolu<br>-Plage à 10 min à pied",489000,95,5147.368421052632,4,3.0,,flat,Toulon,83000,Aguillon,Toulon - Aguillon,43.1157600070941,5.947429932843664,0,1,0,0,0,,1.0,3.0,,électrique individuel,NS,NS,,,0,mandatary,1,2026-03-03T18:59:22.963Z,2026-03-07T19:52:44.930Z,1,0,1,seller,,1960979,https://www.bienici.com/annonce/vente/toulon/flat/iad-france-2024100
iad-france-2007615,Bienici,Vente Appartement 2 pièces,"iad France - Alban Camus vous propose: VUE MAGNIFIQUE - ASCENSEUR - RENOVATION TOTALE POUR CE VASTE T2 AVEC TERRASSE.<br>Ce vaste T2 a été rénové entièrement fin 2025 et vous serez les premiers à vous y installer.<br>Le séjour de 25 m² accède à l'agréable terrasse de plus de 10 m² où la vue est saisissante sur la nature et les monts Toulonnais. La grande chambre avec dressing profite de la même lumière et de la même vue.<br>L'espace nuit est bien séparé de la pièce à vivre et dessert des toilettes séparés suspendus avec lave-main ainsi qu'une belle salle d'eau avec espace buanderie.<br>Pour compléter ce bien, une cave est également accessible par l'ascenseur. Un grand box peut-être proposé en complément. <br>La presente annonce immobiliere vise 2 lots situés dans une copropriété de 277 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 106.67€ par mois (soit 1280 € annuel). Honoraires d'agence à la charge du vendeur.<br>Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 83 et classe CLIMAT C indice 16. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Alban Camus mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 981332521, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",155000,50,3100,2,1.0,,flat,Toulon,83200,Pont de Bois,Toulon - Pont de Bois,43.1349466374706,5.896716808519571,0,1,1,1,1,,5.0,8.0,11.0,radiateur électrique individuel,C,C,83.0,16.0,0,mandatary,1,2026-02-21T14:05:54.358Z,2026-02-25T17:02:26.793Z,1,0,1,seller,,1944823,https://www.bienici.com/annonce/vente/toulon/flat/iad-france-2007615
iad-france-2015432,Bienici,Vente Appartement 3 pièces,"iad France - Jean-Michel PY vous propose: Venez découvrir ce bel appartement T3 superbement rénové et joliment meublé, idéalement situé au cOEur de Toulon, dans le secteur Facultés - Champ de Mars.<br>Traversant et lumineux, ce bien se compose d'une entrée desservant, d'un côté, une pièce à vivre et une première chambre, toutes deux donnant sur un balcon et de l'autre côté, vous trouverez une cuisine, une deuxième chambre avec vue sur cour, une salle d'eau ainsi qu'un WC indépendant.<br>Situé au 3ème étage avec ascenseur d'une copropriété de 1953 en très bon état, cet appartement bénéficie de fenêtres en double vitrage et d'un chauffage électrique individuel. <br>Vous n'aurez plus qu'à poser vos valises dans cet appartement chaleureux vendu entièrement meublé.<br>Une cave est également incluse dans la vente.<br>Une vaste salle de sport Basic-Fit se situe au rez-de-chaussée de l'immeuble.<br>Emplacement à proximité immédiate des commerces, des services, des transports et de l'accès autoroute directions Nice ou Marseille.<br>A seulement 5 minutes à pied de la Faculté de Droit. <br>N'hésitez pas à me contacter pour obtenir plus d'informations sur ce bien ou pour organiser une visite.<br>La presente annonce immobiliere vise 1 lot situé dans une copropriété de 46 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 90€ par mois (soit 1080 € annuel). Honoraires d'agence à la charge du vendeur.<br>Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 163 et classe CLIMAT B indice 6. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Jean-Michel PY mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 882491939, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",161000,61,2639.344262295082,3,2.0,,flat,Toulon,83000,Champs-de-Mars,Toulon - Champs-de-Mars,43.122265463849956,5.941992657458696,0,0,0,1,1,,3.0,7.0,,radiateur électrique individuel,C,B,163.0,6.0,0,mandatary,1,2026-02-19T19:01:01.795Z,2026-03-06T04:20:56.691Z,1,0,1,seller,,1952508,https://www.bienici.com/annonce/vente/toulon/flat/iad-france-2015432
iad-france-1999713,Bienici,Vente Appartement 2 pièces,"iad France - Vanessa Pasquet vous propose: Au sein d’une copropriété intimiste, SECURISEE et bien entretenue, vous découvrirez un appartement de plain-pied offrant une véritable sensation de cocon, à l’abri de toute agitation.<br>Dès votre entrée, vous serez séduit par une pièce de vie spacieuse et lumineuse, orientée sud-est, où vous profiterez d’une atmosphère douce et apaisante. Vous apprécierez la cuisine ouverte, élégamment intégrée, les matériaux soignés, ainsi que l’éclairage par spots encastrés qui met harmonieusement en valeur les volumes.<br>Sur le côté, vous accéderez à un espace nuit confortable : vous disposerez d’une belle chambre avec de grands rangements, accompagnée de sa vaste salle d’eau, équipée d’une grande douche. Vous bénéficierez ainsi d’un agencement proche d’une suite parentale, intime et parfaitement fonctionnel.<br>Côté confort, vous profiterez du double vitrage, d’une climatisation réversible, de la FIBRE OPTIQUE et de prises RJ45. Aucun travaux à prévoir, tant dans l’appartement que dans la copropriété, laquelle est calme, sécurisée et affiche des FAIBLES CHARGES INCLUANT L'EAU FROIDE.<br>À l’extérieur, vous apprécierez un environnement résidentiel paisible, tout en restant à proximité immédiate des commerces, services et commodités, vous permettant de tout faire facilement au quotidien sans renoncer au calme.<br>Vous bénéficierez également d’une place de stationnement privative, pouvant accueillir jusqu’à 2 VEHICULES.<br>Cet appartement pourra répondre à de nombreux projets de vie : vous pourrez y réaliser un premier achat, vous installer en couple, investir grâce à son fort potentiel locatif, ou encore profiter d’un logement confortable et accessible si vous êtes retraité.<br>Un bien lumineux, clé en main, rassurant… un véritable petit bijou, à découvrir sans tarder.<br>La presente annonce immobiliere vise 2 lots situés dans une copropriété de 52 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 66.67€ par mois (soit 800 € annuel). Honoraires d'agence à la charge du vendeur.<br>Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 148 et classe CLIMAT A indice 5. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Vanessa Pasquet mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 435133301, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",149000,45,3311.1111111111113,2,1.0,,flat,Toulon,83200,Pont du Las,Toulon - Pont du Las,43.13208706943381,5.912797405138537,0,1,0,0,0,,0.0,2.0,,électrique individuel,C,A,148.0,5.0,0,mandatary,1,2026-02-02T19:50:17.268Z,2026-03-02T15:34:36.732Z,1,0,1,seller,,1937003,https://www.bienici.com/annonce/vente/toulon/flat/iad-france-1999713
hektor-bretteimmobilieranne-16899,Bienici,TOULON SIBLAS MAISON T6 VUE MER A RENOVER,"Située sur les hauteurs de Siblas, cette maison T5 à rénover offre une vue mer splendide et un fort potentiel d'aménagement.<br>Elle se compose au rez-de-chaussée d'un double séjour lumineux avec vue dégagée sur la mer, d'une cuisine indépendante, d'une chambre avec balcon, d'une salle d'eau et de WC indépendants. Au niveau inférieur, vous trouverez deux chambres supplémentaires ainsi qu'une seconde salle d'eau avec WC. Enfin, les combles aménagés d'environ 52 m2 viennent compléter ce bien et permettent d'imaginer de nombreux projets.<br>Stationnement aisé sur la parcelle.<br>Produit atypique et rare à la vente, une opportunité à ne pas manquer !<br>Les informations concernant les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr. BRETTE IMMOBILIER, agence immobilière implantée à Toulon depuis plus de 30 ans, vous accompagne dans tous vos projets immobiliers de vente, d'achat et de location. Nos agences, situées dans les quartiers Claret et Sainte-Anne, interviennent sur l'ensemble de l'aire toulonnaise : Le Mourillon, Cap Brun, Port Marchand, Serinette, Petit Bois, La Mitre, L'Aiguillon, La Rode, Le Pont-du-Suve, Les Ameniers, ainsi que Les Routes, Bon Rencontre, Le Pont-du-Las, Barbès, Claret, Sainte-Anne, Le Bas Faron, Vert Coteau, La Loubière, Saint-Jean-du-Var, Brunet et secteurs limitrophes. Nous intervenons également sur les communes environnantes de Toulon telles que La Valette-du-Var, La Seyne-sur-Mer, Ollioules, Six-Fours-les-Plages, Sanary-sur-Mer et Bandol. Grâce à notre parfaite connaissance du marché immobilier local, nous vous proposons un large choix de biens immobiliers en vente et en location : appartements, maisons, villas, terrains, garages, places de parking, box et murs commerciaux. Venez découvrir l'ensemble de nos biens et bénéficier d'un accompagnement personnalisé en agence.",545000,152.16,3581.756046267087,5,4.0,1.0,house,Toulon,83000,Siblas,Toulon - Siblas,43.135879884782504,5.941607561251471,0,0,1,0,0,1.0,,3.0,1250.0,gaz individuel,D,D,220.0,48.0,0,agency,1,2026-01-30T10:33:29.635Z,2026-03-02T09:58:07.662Z,1,0,1,seller,545000.0,3688,https://www.bienici.com/annonce/vente/toulon/house/hektor-bretteimmobilieranne-16899
iad-france-1973370,Bienici,Vente Appartement 3 pièces,"iad France - Bruno Moullet vous propose: TROP TARD...! Sous offre en seulement quelques visites.<br>Superbe appartement T3 avec terrasse, cave et garage dans résidence récente arborée, avec ascenseur. Quartier St Jean-du-Var limite Loubière.<br>Situé au calme à proximité des commerces, des écoles et des transports en commun, cet appartement T3 de 56.47m² offre un cadre de vie paisible. Il se compose d'un séjour avec cuisine s'ouvrant sur terrasse couverte plein Sud, idéale pour des moments de détente en extérieur. Deux chambres dont une avec placard intégré. Une salle de bains moderne et fonctionnelle. <br>L'appartement est en excellent état, offrant des prestations de qualité. <br>L'appartement est vendu avec un garage en sous-sol et une cave, vous offrant un espace de stockage supplémentaire. <br>Cet appartement est un véritable coup de cOEur. Ne manquez pas cette opportunité, idéale pour un investissement locatif serein, ou pour une habitation principale clés en mains. <br>Disponible 7j/7, je suis à votre écoute pour organiser une visite ou répondre à vos questions.<br>Vous souhaitez vendre, acheter ou estimer un bien à Toulon (St Jean du Var, Loubière, Haute ville, Claret...)? Contactez-moi pour un accompagnement sur mesure.<br>La presente annonce immobiliere vise 3 lots situés dans une copropriété de 187 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 130.11€ par mois (soit 1561.36 € annuel). Honoraires d'agence à la charge du vendeur.<br>Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 72 et classe CLIMAT C indice 12. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Bruno Moullet mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 899572929, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",175000,56,3125,3,2.0,,flat,Toulon,83100,Saint-Jean du Var,Toulon - Saint-Jean du Var,43.12515973763774,5.952047895176747,0,1,0,1,1,,3.0,5.0,,radiateur électrique individuel,C,C,72.0,12.0,0,mandatary,1,2026-01-19T11:22:56.807Z,2026-02-25T16:38:10.244Z,1,0,1,seller,,1911299,https://www.bienici.com/annonce/vente/toulon/flat/iad-france-1973370
