source,titre,prix,surface_m2,prix_m2,pieces,type_bien,ville,quartier,description_carte,url
Bienici,IBOX Mourillon 10 VIDÉO EXCLUSIVITÉ Appartement 3 pièces 51 m² 83200 Toulon (Saint-Roch) 124 000 € 2 420 €/m²,124000,51.0,2431.37,3.0,Appartement,Toulon,,IBOX Mourillon 10 VIDÉO EXCLUSIVITÉ Appartement 3 pièces 51 m² 83200 Toulon (Saint-Roch) 124 000 € 2 420 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mourillon-388222?q=%2Frecherche%2Fachat%2Ftoulon-83000&depuis-mise-en-avant=oui
Bienici,L'office Immo 11 EXCLUSIVITÉ Appartement 2 pièces 38 m² 83000 Toulon 187 000 € 4 921 €/m²,187000,38.0,4921.05,2.0,Appartement,Toulon,,L'office Immo 11 EXCLUSIVITÉ Appartement 2 pièces 38 m² 83000 Toulon 187 000 € 4 921 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/netty-company38777ezz-appt-5357?q=%2Frecherche%2Fachat%2Ftoulon-83000&depuis-mise-en-avant=oui
Bienici,16 EXCLUSIVITÉ Maison 3 pièces 92 m² 83200 Toulon (L'Escaillon) 399 000 € 4 337 €/m²,399000,92.0,4336.96,3.0,Maison,Toulon,,16 EXCLUSIVITÉ Maison 3 pièces 92 m² 83200 Toulon (L'Escaillon) 399 000 € 4 337 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/ag942352-517539578?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,15 EXCLUSIVITÉ Studio 25 m² 83000 Toulon (La Rode) 82 000 € 3 280 €/m²,82000,25.0,3280.0,,Studio,Toulon,,15 EXCLUSIVITÉ Studio 25 m² 83000 Toulon (La Rode) 82 000 € 3 280 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/ag942352-517537721?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,18 EXCLUSIVITÉ Appartement 4 pièces 65 m² ,210000,65.0,3230.77,4.0,Appartement,Toulon,,18 EXCLUSIVITÉ Appartement 4 pièces 65 m² 83100 Toulon (Brunet) 210 000 € 3 231 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517536269?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,17 EXCLUSIVITÉ Maison 6 pièces 126 m² ,334000,126.0,2650.79,6.0,Maison,Toulon,,17 EXCLUSIVITÉ Maison 6 pièces 126 m² 83100 Toulon (Saint-Jean du Var) 334 000 € 2 651 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/ag942352-517538015?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,15 EXCLUSIVITÉ Maison 6 pièces 136 m² 83000 Toulon (Aguillon) 640 000 € 4 706 €/m²,640000,136.0,4705.88,6.0,Maison,Toulon,,15 EXCLUSIVITÉ Maison 6 pièces 136 m² 83000 Toulon (Aguillon) 640 000 € 4 706 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/iad-france-2018963?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,15 EXCLUSIVITÉ Duplex 4 pièces 95 m² 83000 Toulon (Aguillon) 489 000 € 5 147 €/m²,489000,95.0,5147.37,4.0,,Toulon,,15 EXCLUSIVITÉ Duplex 4 pièces 95 m² 83000 Toulon (Aguillon) 489 000 € 5 147 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-2024100?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,16 EXCLUSIVITÉ Appartement 2 pièces 50 m² 83200 Toulon (Pont de Bois) 155 000 € 3 100 €/m²,155000,50.0,3100.0,2.0,Appartement,Toulon,,16 EXCLUSIVITÉ Appartement 2 pièces 50 m² 83200 Toulon (Pont de Bois) 155 000 € 3 100 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2007615?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,21 EXCLUSIVITÉ Appartement 3 pièces 61 m² 83000 Toulon (Champs-de-Mars) 161 000 € 2 639 €/m²,161000,61.0,2639.34,3.0,Appartement,Toulon,,21 EXCLUSIVITÉ Appartement 3 pièces 61 m² 83000 Toulon (Champs-de-Mars) 161 000 € 2 639 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2015432?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,19 EXCLUSIVITÉ Appartement 2 pièces 45 m² 83200 Toulon (Pont du Las) 149 000 € 3 311 €/m²,149000,45.0,3311.11,2.0,Appartement,Toulon,,19 EXCLUSIVITÉ Appartement 2 pièces 45 m² 83200 Toulon (Pont du Las) 149 000 € 3 311 €/m²,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1999713?q=%2Frecherche%2Fachat%2Ftoulon-83000
Bienici,BRETTE IMMOBILIER 17 VIDÉO EXCLUSIVITÉ Maison 5 pièces 152 m² 83000 Toulon (Siblas) 545 000 € 3 582 €/m²,545000,152.0,3585.53,5.0,Maison,Toulon,,BRETTE IMMOBILIER 17 VIDÉO EXCLUSIVITÉ Maison 5 pièces 152 m² 83000 Toulon (Siblas) 545 000 € 3 582 €/m²,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-bretteimmobilieranne-16899?q=%2Frecherche%2Fachat%2Ftoulon-83000
